Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	0.67	1.33	2.67	3.00	3.00	4.33	5.00	5.67	6.33	9.33	18.00	30.33	41.00	48.33
1	1.00	1.67	1.67	2.67	4.00	4.00	4.00	4.67	7.00	9.33	13.67	21.33	28.33	35.00
2	0.33	0.33	0.67	0.67	2.00	3.00	3.33	4.00	5.33	5.67	11.33	14.33	18.67	23.33
3	0.33	0.67	0.67	1.33	1.67	2.00	2.67	4.33	5.33	6.00	8.00	13.33	15.33	17.67
4	0.00	0.33	1.33	1.67	1.67	2.33	2.67	2.67	3.67	4.00	6.33	9.67	13.33	16.00
5	0.33	0.33	0.67	0.67	0.67	1.67	1.67	2.00	2.67	3.00	5.00	7.33	10.67	12.67
6	0.00	0.00	0.00	0.00	0.33	0.67	0.67	1.00	1.00	1.00	2.00	2.00	3.00	4.00
7	0.00	0.33	0.67	0.67	0.67	1.00	1.00	1.00	1.67	1.67	3.33	4.67	6.33	8.33
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.67	1.00	1.33
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	1.00	1.00	1.00
