Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	7.67	14.33	22.00	27.67	32.67	37.33	40.33	42.33	46.33	49.67	59.00	62.33	66.00	70.00
1	2.67	8.33	12.67	16.67	21.00	22.33	24.33	26.33	29.00	31.33	44.33	53.33	57.67	61.00
2	2.67	6.67	9.33	13.00	14.00	15.67	18.00	21.00	25.00	28.33	37.67	44.67	50.00	52.67
3	1.00	2.67	4.67	7.00	9.67	13.33	15.00	17.33	19.67	22.67	33.67	40.33	45.67	49.33
4	0.67	1.33	3.67	6.33	8.00	9.67	12.00	12.67	15.67	19.33	26.00	33.67	37.33	42.67
5	1.00	2.00	3.33	6.00	8.00	8.67	9.33	10.33	11.67	13.00	21.33	24.67	28.00	31.67
6	1.00	3.33	3.67	5.00	5.33	6.00	8.00	10.00	11.00	12.33	18.00	21.67	26.33	28.67
7	1.00	1.67	2.33	3.33	4.00	5.33	6.67	7.67	9.00	9.67	13.00	16.67	23.00	26.33
8	1.00	1.33	2.67	4.00	4.67	5.33	5.67	6.33	6.33	7.00	11.33	16.00	20.00	21.00
9	0.33	1.33	3.00	3.33	4.00	4.00	5.00	5.33	5.33	5.33	8.33	9.67	13.67	15.00
