Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	5.33	11.00	13.00	14.33	15.33	15.67	15.67	16.33	17.00	17.33	20.33	23.67	26.33	27.33
1	4.33	12.33	15.00	17.00	17.33	18.00	18.33	19.00	19.33	20.00	22.00	24.00	24.67	25.00
2	7.67	15.00	17.33	18.00	18.33	18.67	19.33	20.00	21.67	23.33	25.33	26.67	28.33	28.67
3	5.67	13.67	18.33	19.67	21.00	21.67	22.33	23.67	24.00	24.33	25.33	27.00	29.33	29.33
4	3.67	12.00	14.00	14.00	16.00	17.00	18.67	19.67	20.67	21.00	23.33	27.33	28.00	28.00
5	6.33	18.00	21.00	23.33	24.00	24.67	25.33	26.67	27.67	28.00	30.00	32.00	32.33	32.33
6	7.67	18.00	20.67	23.00	24.33	24.33	24.67	25.00	25.33	25.33	27.00	31.67	32.00	32.67
7	6.33	19.00	20.67	22.00	22.67	23.00	23.67	23.67	24.00	24.00	26.00	30.67	32.33	32.33
8	9.67	21.33	23.33	25.00	25.33	26.00	26.33	26.67	27.67	28.00	30.67	33.33	33.67	33.67
9	6.67	16.67	19.33	21.33	22.67	23.67	24.33	24.67	25.67	26.00	27.33	29.67	30.33	30.33
