Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	4.33	9.67	17.33	25.33	28.33	32.67	36.67	40.33	44.67	47.33	60.33	66.00	68.67	71.00
1	2.33	6.67	10.67	16.67	18.33	22.33	25.00	27.00	30.67	33.67	43.00	49.67	55.00	57.00
2	0.67	2.33	5.67	9.67	13.33	15.00	17.33	19.67	23.00	28.33	38.33	44.00	47.67	52.67
3	2.67	4.00	6.00	9.67	10.67	13.00	14.00	14.67	17.67	20.33	27.00	30.33	32.33	35.33
4	1.00	2.67	4.33	7.33	10.00	11.33	12.67	13.67	16.33	18.67	26.67	32.67	35.67	39.00
5	1.00	2.67	4.67	7.00	9.00	9.67	10.67	11.67	14.00	15.00	20.67	25.00	27.67	29.33
6	0.67	3.00	3.67	4.00	6.33	6.33	7.33	8.00	9.67	10.00	16.00	22.00	25.33	27.33
7	1.00	1.67	2.33	5.33	7.33	8.00	8.33	10.33	12.33	13.00	18.00	20.33	22.00	24.67
8	1.33	2.33	3.00	4.00	4.33	6.33	7.00	7.33	8.33	10.00	13.33	16.67	20.33	23.67
9	1.33	3.00	3.67	4.67	5.00	5.33	5.33	5.67	6.33	7.33	11.33	13.67	16.33	19.00
