Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	7.67	9.00	11.00	11.33	11.67	12.00	13.00	13.00	13.33	14.33	16.00	19.67	21.33	21.67
1	5.67	10.33	10.67	12.00	13.67	14.67	14.67	14.67	15.33	16.67	17.67	19.67	21.00	21.00
2	8.00	11.67	12.67	14.00	14.33	16.33	16.33	16.67	17.00	17.67	18.00	22.00	22.00	22.00
3	8.67	12.33	13.67	15.33	16.00	16.00	16.33	16.33	16.67	16.67	20.00	22.33	23.67	24.00
4	7.33	9.00	9.33	11.00	11.67	12.00	12.00	13.67	14.33	14.67	16.00	20.33	21.67	21.67
5	14.33	17.00	18.00	19.00	19.33	19.33	20.33	20.33	21.67	22.33	23.67	26.67	28.33	28.33
6	16.00	18.00	19.33	21.33	22.67	24.00	24.33	25.00	26.33	27.00	29.33	32.33	35.00	35.00
7	17.33	20.33	21.00	23.00	23.00	24.67	25.33	25.67	26.67	27.00	28.67	31.67	34.00	34.33
8	16.67	20.33	21.67	22.33	23.33	24.33	24.67	24.67	24.67	25.00	27.00	29.33	30.00	30.33
9	19.33	23.00	25.00	27.00	27.33	27.33	27.67	28.33	29.33	30.67	31.33	36.33	37.67	38.00
