Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	2.67	3.33	4.33	5.33	6.67	8.00	9.00	10.33	12.67	15.00	27.00	37.67	45.33	52.67
1	0.33	1.00	2.00	2.67	3.00	4.00	5.33	6.33	7.00	7.67	15.33	22.33	27.00	32.67
2	0.00	0.00	0.00	0.33	0.67	1.00	1.33	1.67	1.67	2.00	4.67	7.67	13.67	15.67
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.33	2.00	3.67	5.67	7.00	9.00
4	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.67	1.00	1.00	2.00	3.67	5.00	7.00
5	0.00	0.00	0.00	0.00	0.00	0.67	1.33	1.33	1.33	1.33	2.33	3.33	4.67	6.00
6	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.33	0.33	0.67	0.67	1.67	3.33	3.67
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.67	1.00	1.67
8	0.00	0.00	0.00	0.67	0.67	0.67	0.67	0.67	1.33	1.67	2.00	2.33	3.00	4.33
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.67	1.33	2.00	2.67
