Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	1.00	2.33	2.67	4.67	5.67	6.00	6.33	6.67	9.00	9.67	14.33	20.00	25.67	31.00
1	0.00	0.33	1.00	2.33	2.33	3.33	3.33	4.67	5.67	7.00	11.33	16.33	20.00	23.67
2	0.33	0.33	1.00	1.67	2.00	2.33	3.00	3.67	5.67	6.67	10.67	15.00	17.00	21.33
3	0.33	0.67	1.00	1.67	1.67	2.00	3.00	3.67	4.33	4.33	9.00	13.33	16.33	19.00
4	0.00	0.00	0.00	0.33	0.67	0.67	0.67	1.33	2.33	2.67	4.33	6.33	8.00	9.00
5	0.00	0.00	0.00	0.33	0.33	0.67	1.00	1.33	1.33	2.00	3.67	5.00	6.67	8.00
6	0.00	0.00	0.00	0.00	0.33	0.33	0.33	0.33	0.33	0.67	1.00	2.00	4.67	6.67
7	0.00	0.00	0.33	0.33	0.33	0.67	0.67	0.67	0.67	0.67	0.67	1.00	1.67	3.67
8	0.00	0.00	0.00	0.33	0.33	0.33	0.67	0.67	0.67	0.67	0.67	1.33	1.33	1.33
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	1.00
