Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	9.33	13.00	19.00	25.33	30.00	32.67	35.33	38.00	41.00	44.67	53.33	59.00	61.33	64.00
1	5.33	10.00	14.67	22.67	27.00	28.67	30.33	33.33	37.00	38.00	48.00	51.33	57.33	58.67
2	5.00	9.67	13.00	19.33	22.00	23.67	24.67	27.00	29.67	31.67	40.00	47.33	50.67	56.67
3	2.00	5.00	7.00	12.33	17.00	20.00	20.67	22.33	26.33	29.00	37.67	44.33	47.00	50.00
4	3.67	6.00	9.00	12.00	13.67	15.33	19.00	21.00	23.67	26.00	33.00	39.00	42.33	44.33
5	1.33	5.00	6.33	8.33	10.00	10.67	12.00	14.00	16.00	17.33	25.33	30.67	36.33	39.67
6	1.00	3.00	4.00	5.67	6.00	7.33	9.00	9.00	10.33	13.00	20.00	25.00	31.33	35.00
7	1.67	3.33	5.00	8.00	9.33	10.33	11.00	11.00	13.33	14.00	20.00	23.67	26.67	29.67
8	0.00	1.00	2.33	3.33	5.33	6.00	7.00	8.00	9.33	10.67	14.67	19.00	21.33	24.67
9	1.00	2.67	3.67	4.00	4.00	4.67	6.00	6.00	6.67	7.00	10.33	13.33	15.33	17.00
