Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	3.00	10.33	11.67	12.67	13.00	13.67	14.00	15.00	15.00	15.00	17.33	20.67	21.00	21.00
1	2.67	12.67	15.67	16.33	16.33	16.67	17.00	17.67	18.33	19.00	20.33	21.00	21.67	21.67
2	7.00	15.00	15.67	17.33	17.33	17.67	19.00	20.33	20.33	20.33	22.33	25.00	25.67	25.67
3	4.67	11.67	14.00	15.67	16.33	17.67	17.67	18.00	19.00	19.33	21.00	22.67	23.33	23.67
4	6.00	15.33	18.00	20.67	21.67	21.67	22.33	22.67	23.00	23.00	24.00	24.33	25.33	25.33
5	4.00	13.67	15.67	17.00	18.00	20.00	20.33	20.33	21.00	21.67	22.00	24.33	25.33	25.33
6	5.67	15.33	17.67	19.00	20.67	20.67	20.67	21.00	21.33	22.33	23.00	24.67	25.33	25.33
7	6.33	16.33	18.67	22.00	22.67	23.00	24.00	24.33	24.33	25.00	26.33	29.00	29.33	29.33
8	5.33	12.67	15.00	17.33	18.67	19.33	19.33	20.33	21.67	22.33	24.33	27.67	29.33	29.33
9	7.67	21.33	25.33	30.00	31.33	33.67	34.00	34.33	34.67	35.00	36.67	41.00	41.00	41.00
