Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	4.33	10.33	16.33	22.33	27.67	29.33	32.33	35.33	39.67	42.00	49.00	54.33	58.00	62.00
1	2.67	7.67	9.00	14.67	19.00	19.67	20.33	22.67	26.67	28.67	38.33	43.67	47.67	53.00
2	3.67	6.33	9.33	13.00	14.67	17.00	18.33	20.67	23.00	25.67	33.00	39.67	44.33	47.67
3	0.00	3.00	4.33	6.67	10.00	12.33	15.00	16.33	18.33	21.33	29.33	36.00	40.00	43.33
4	1.00	3.33	5.33	7.67	10.00	11.67	14.67	15.33	17.00	19.00	24.33	26.00	29.67	32.67
5	0.33	1.67	3.33	5.00	9.00	10.00	11.00	13.00	13.33	14.00	19.00	23.00	26.67	28.33
6	1.33	3.00	5.00	7.67	10.33	11.67	12.67	13.00	13.33	14.67	18.33	20.00	24.00	27.00
7	1.33	3.67	4.00	6.00	7.33	8.67	9.67	10.00	12.00	13.00	16.67	18.33	21.00	23.00
8	0.00	1.33	3.33	4.00	4.67	5.67	6.00	6.33	7.67	9.33	12.33	13.67	15.67	17.67
9	2.67	4.00	4.67	6.00	6.33	7.00	7.00	7.33	7.33	7.67	10.67	13.33	14.00	16.00
