Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	1.33	2.33	4.00	4.67	6.00	7.33	7.67	8.67	9.33	11.33	20.33	28.33	38.67	43.67
1	0.33	1.00	1.00	2.33	3.67	3.67	5.00	5.67	8.67	10.00	16.67	22.00	27.67	34.00
2	0.00	0.00	0.67	1.00	1.67	2.00	2.33	2.67	3.67	5.33	11.00	15.33	18.00	22.33
3	0.00	0.00	1.00	1.67	2.33	3.67	4.00	5.67	6.67	7.67	9.33	14.33	17.33	20.00
4	0.00	0.00	0.67	1.00	1.33	2.00	2.33	2.33	4.00	4.33	7.33	10.67	13.67	16.33
5	0.00	0.33	0.33	0.67	0.67	1.33	1.33	1.67	2.00	2.00	4.00	6.33	8.00	10.33
6	0.00	0.67	0.67	1.00	1.33	2.00	2.00	2.33	2.67	2.67	3.33	3.67	5.67	7.33
7	0.33	0.33	0.67	0.67	0.67	0.67	0.67	0.67	1.00	1.00	3.33	4.00	4.67	5.67
8	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.33	0.33	0.33	0.33	1.67	2.33
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
