Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	1.00	2.33	2.67	4.67	6.00	6.33	6.67	7.00	9.67	10.33	15.00	21.33	26.67	31.00
1	0.00	0.00	0.67	2.00	2.00	3.00	3.00	4.33	6.00	7.00	11.67	16.67	21.00	24.67
2	0.33	0.33	0.67	1.33	1.67	2.33	3.00	4.00	5.67	7.33	11.67	15.67	18.00	22.67
3	0.33	0.67	1.00	1.67	1.67	2.00	2.67	3.33	4.00	4.00	8.00	11.67	14.67	17.00
4	0.00	0.00	0.00	0.33	0.67	0.67	0.67	1.33	2.33	2.33	4.33	6.00	7.00	7.67
5	0.00	0.00	0.00	0.33	0.33	0.67	1.00	1.33	1.33	2.00	3.67	4.33	6.33	7.67
6	0.00	0.00	0.00	0.00	0.33	0.33	0.33	0.33	0.33	0.67	1.00	2.00	4.33	6.67
7	0.00	0.00	0.33	0.33	0.33	0.33	0.67	0.67	0.67	0.67	0.67	1.00	2.00	4.00
8	0.00	0.00	0.00	0.33	0.33	0.33	0.67	0.67	0.67	0.67	0.67	1.33	1.33	1.33
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	1.00
