Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	1.00	2.00	4.33	5.00	7.00	8.33	9.00	11.33	12.33	14.33	20.67	25.67	30.67	34.33
1	0.00	1.33	3.00	4.33	6.67	7.33	8.67	9.00	10.67	12.33	18.00	22.33	25.67	30.33
2	0.33	1.00	1.00	2.00	2.67	4.00	6.00	7.00	8.00	10.33	15.67	20.33	24.67	28.33
3	0.00	1.00	1.67	2.33	3.00	3.33	4.00	4.33	5.33	7.33	11.33	15.33	19.33	22.67
4	0.00	0.33	0.67	2.00	3.00	3.67	4.33	5.00	6.67	7.67	11.00	13.67	15.67	17.67
5	0.00	0.67	1.00	1.67	2.00	3.67	3.67	3.67	4.33	5.33	10.33	12.67	13.67	16.67
6	0.33	1.33	2.00	3.33	3.67	3.67	4.00	4.00	4.00	4.67	8.00	8.67	9.67	11.00
7	0.33	0.33	0.33	0.33	0.33	0.33	0.67	0.67	1.33	1.67	3.33	3.67	5.00	5.33
8	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.67	0.67	1.00	1.67	2.00	2.67	4.67
9	0.00	0.00	0.00	0.33	0.67	0.67	1.00	1.00	1.67	2.00	3.33	3.67	3.67	3.67
