Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	0.33	0.67	1.67	3.33	4.67	5.33	6.33	6.67	8.00	10.00	15.00	17.67	20.33	23.33
1	0.33	0.67	1.33	3.00	3.33	3.67	4.67	5.00	6.00	7.33	13.00	19.33	22.00	25.67
2	1.00	1.33	3.00	4.67	7.00	8.67	9.33	10.33	10.67	11.33	19.00	23.67	26.00	29.33
3	0.33	1.00	1.33	4.00	5.33	6.67	7.67	8.33	9.00	9.67	16.67	21.33	24.00	26.67
4	0.33	1.67	2.33	3.33	4.67	6.33	6.33	6.67	10.33	12.33	19.00	24.33	28.33	29.67
5	0.00	1.00	2.00	4.67	5.33	6.33	7.33	7.67	10.33	11.00	15.67	20.33	22.67	27.00
6	0.00	0.67	1.00	1.33	2.00	3.00	4.00	4.33	5.33	5.67	10.67	13.67	16.33	19.67
7	0.00	0.67	0.67	2.00	3.00	3.67	3.67	4.67	5.67	5.67	10.67	15.33	17.67	19.33
8	0.00	1.00	1.00	2.00	2.33	3.33	3.33	3.33	4.33	5.00	8.67	10.00	11.00	11.33
9	0.33	1.33	1.67	1.67	2.33	3.00	3.00	3.33	3.33	4.00	5.33	7.33	8.67	10.00
