Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	4.00	11.33	13.00	14.67	15.33	15.67	16.00	16.67	16.67	17.33	19.67	22.33	22.67	23.33
1	3.33	10.00	13.33	14.33	15.00	15.00	15.33	16.33	17.00	17.33	20.33	23.33	24.33	24.67
2	7.00	15.33	16.33	18.67	20.00	20.67	22.00	22.67	23.33	23.67	25.33	27.33	27.67	27.67
3	3.33	13.33	15.67	18.00	18.33	20.67	20.67	20.67	21.67	22.00	22.67	25.67	26.33	26.33
4	4.00	11.00	13.00	15.00	15.67	16.33	17.00	17.33	17.33	18.00	18.67	20.67	21.00	21.00
5	4.67	14.33	16.33	17.67	18.33	19.33	19.33	19.33	20.33	21.67	23.00	25.00	26.00	26.00
6	5.67	17.00	20.33	21.67	22.67	23.67	24.00	24.00	25.00	25.67	27.33	28.67	29.67	29.67
7	7.67	19.00	21.00	22.33	23.67	25.00	25.67	26.33	26.67	27.33	30.33	33.33	33.33	33.33
8	8.00	17.67	19.00	20.33	21.33	22.00	22.33	23.00	24.33	24.67	27.33	31.33	33.00	33.00
9	9.67	22.33	25.33	31.00	32.33	34.00	34.67	35.00	35.33	36.00	37.00	41.00	42.00	42.00
