Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	7.33	16.67	22.00	29.67	33.67	35.67	39.00	40.67	41.67	44.67	52.33	59.00	65.33	69.33
1	5.67	15.67	20.00	25.33	27.33	29.67	32.33	33.67	36.67	40.33	50.33	55.33	60.33	66.00
2	3.67	12.00	17.00	22.67	26.67	28.67	29.33	30.67	33.33	38.00	46.33	52.33	57.00	60.33
3	4.00	13.67	17.00	21.00	22.67	24.67	25.67	26.33	28.33	30.67	39.33	44.67	48.33	50.67
4	3.67	10.00	13.00	16.67	19.33	21.00	22.33	24.00	26.67	29.33	36.67	39.00	44.00	46.00
5	3.33	13.33	16.33	20.67	22.00	23.00	23.33	24.00	26.33	28.67	35.33	40.33	42.33	45.33
6	3.33	13.33	17.33	20.33	22.33	23.67	25.00	26.00	27.00	28.33	33.33	36.33	39.67	41.00
7	2.67	15.00	19.67	23.00	24.00	25.00	26.00	27.00	28.33	29.33	33.67	37.33	39.67	42.33
8	1.33	11.67	15.33	20.00	21.00	22.00	23.00	23.67	25.33	26.00	30.00	31.67	33.67	36.00
9	3.67	18.33	21.33	24.00	26.67	27.33	28.67	29.00	29.33	29.33	32.67	34.67	35.00	36.33
