Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	6.33	11.67	17.00	21.67	25.33	26.33	31.00	33.33	37.33	40.00	49.00	55.67	60.67	66.67
1	3.33	7.33	9.67	13.67	18.00	20.67	24.00	28.00	32.67	36.33	51.33	57.33	61.67	64.67
2	2.67	5.67	7.00	11.67	14.33	17.67	20.33	23.00	27.67	31.67	43.00	49.67	53.33	57.00
3	1.00	4.67	6.00	9.33	10.67	13.00	15.33	16.33	18.67	21.00	28.00	36.33	42.00	46.33
4	1.00	3.33	6.33	9.00	10.33	12.33	13.33	14.33	15.67	19.00	25.33	32.33	36.67	39.33
5	1.67	3.33	5.33	8.00	9.00	11.33	12.33	13.00	15.33	17.67	24.33	28.00	31.33	35.67
6	1.33	3.33	3.67	6.33	7.00	7.00	7.33	8.00	9.33	10.33	17.33	21.00	26.33	27.00
7	0.67	2.00	2.67	4.00	4.67	6.00	6.67	7.67	9.33	11.33	15.67	19.00	24.00	26.33
8	0.33	1.00	1.67	2.00	3.00	4.33	4.33	5.33	6.00	7.33	11.00	12.67	15.33	18.00
9	0.00	1.00	2.67	3.33	3.67	4.67	5.00	5.67	6.00	7.00	9.67	12.67	15.67	17.67
