Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	16.00	29.67	39.00	46.67	48.67	52.67	55.00	57.00	59.33	60.67	69.00	73.67	77.00	79.67
1	6.67	25.67	32.67	39.33	43.67	45.00	46.33	47.00	51.00	52.67	60.33	65.00	67.67	71.00
2	5.67	24.00	30.33	38.67	44.67	45.67	46.33	48.33	50.00	54.00	61.67	65.67	67.33	68.00
3	9.00	28.67	33.33	38.00	40.33	42.33	43.00	44.00	45.00	47.67	56.00	60.67	63.00	64.33
4	3.33	27.67	33.00	36.67	39.00	41.00	42.67	43.67	45.33	46.67	50.00	53.33	56.00	57.33
5	7.00	28.33	36.33	40.67	43.33	45.00	45.33	46.33	48.00	49.33	53.00	56.00	57.67	59.33
6	5.00	29.67	35.33	40.33	42.33	42.67	45.33	47.33	49.67	51.33	55.67	57.33	59.67	62.00
7	6.67	29.33	37.67	43.33	46.33	48.00	48.33	48.67	50.00	51.00	55.33	58.67	60.67	62.33
8	4.67	33.00	38.33	43.00	44.33	46.00	46.33	46.33	47.67	48.67	53.33	55.33	58.00	59.33
9	4.33	25.33	32.33	37.00	39.67	41.00	43.67	44.67	46.33	46.67	49.33	53.00	54.33	55.33
