Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	6.33	11.00	14.00	20.00	24.00	25.00	26.67	27.67	31.00	34.00	45.67	52.33	59.00	62.00
1	1.33	5.00	8.33	10.67	13.67	16.00	18.33	19.33	21.33	23.00	33.67	41.00	46.33	50.67
2	1.67	3.33	5.33	7.67	8.67	10.00	11.00	12.67	14.67	15.67	22.67	27.67	32.33	38.33
3	0.67	2.00	3.00	4.33	5.67	6.00	7.67	8.00	10.67	12.33	19.00	25.67	28.67	32.33
4	0.33	1.00	1.67	3.00	4.00	5.67	6.67	7.33	8.33	9.33	14.00	20.67	24.67	29.00
5	0.67	1.33	2.33	2.67	3.33	4.67	5.00	5.67	7.67	9.00	14.00	19.00	21.33	24.67
6	0.67	1.67	2.00	2.67	4.00	5.00	5.67	6.33	7.00	7.33	12.33	18.00	20.67	22.67
7	1.00	1.33	2.00	3.00	3.33	3.67	4.33	4.67	5.33	6.00	12.33	18.33	21.67	24.33
8	1.00	1.67	1.67	3.00	3.67	3.67	4.00	4.00	6.00	6.67	9.67	14.33	17.33	19.33
9	0.33	0.33	0.33	2.33	3.33	4.67	6.00	6.33	7.33	8.33	10.67	14.67	17.33	20.00
