Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	1.00	2.33	3.33	4.00	7.67	9.00	9.67	10.67	13.00	15.00	23.67	30.67	38.00	42.00
1	0.00	1.00	1.00	2.00	3.00	4.33	5.00	6.67	9.00	11.00	19.67	25.33	32.00	39.00
2	0.33	0.33	0.67	1.67	2.33	2.67	3.33	4.00	5.00	6.00	11.67	16.67	21.33	25.67
3	0.00	0.00	0.00	0.67	1.00	1.00	1.00	1.00	1.67	2.33	6.67	14.00	18.00	21.00
4	0.00	0.00	0.00	0.33	0.33	0.67	0.67	0.67	0.67	0.67	2.67	5.67	8.00	10.33
5	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.67	1.00	1.00	2.33	4.67	6.33	7.67
6	0.00	0.00	0.00	0.00	0.00	0.67	0.67	0.67	0.67	1.00	2.00	2.00	4.33	5.00
7	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.33	0.67	0.67	1.00	1.67	3.00	3.33
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	1.00	1.67
9	0.00	0.00	0.00	0.33	0.67	0.67	0.67	0.67	1.00	1.00	1.33	1.67	2.00	2.00
