Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	7.33	16.00	18.67	21.33	23.00	25.67	28.67	31.00	33.00	35.67	42.33	49.33	53.67	57.00
1	5.00	13.33	17.33	19.33	22.67	26.33	28.67	30.67	35.33	37.33	46.00	53.67	59.00	63.00
2	5.33	10.00	10.67	13.67	17.33	20.00	21.67	22.00	25.00	29.00	35.00	38.67	43.33	45.67
3	4.33	7.00	9.00	11.33	12.67	14.67	17.00	17.67	19.00	20.33	27.00	30.33	35.00	40.00
4	2.33	9.00	12.67	14.33	15.33	16.33	18.00	18.33	19.33	21.00	23.33	28.00	31.33	33.00
5	3.67	9.67	10.67	12.67	13.67	14.33	15.00	16.00	17.00	18.33	22.00	24.00	25.67	28.00
6	3.67	11.33	12.33	15.33	15.33	16.00	16.67	16.67	19.33	21.00	23.67	27.00	29.67	30.33
7	4.33	10.00	10.33	11.00	11.67	12.33	12.33	12.33	13.33	13.67	16.33	18.33	20.67	21.00
8	3.33	12.33	13.00	14.00	14.67	15.67	16.00	16.33	17.67	18.33	20.67	23.00	24.00	24.33
9	4.00	13.00	14.33	15.00	15.00	15.33	15.67	16.00	16.67	17.67	19.67	20.67	21.67	23.33
