Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	4.00	7.33	9.33	14.33	16.67	19.33	21.67	23.67	25.33	28.00	36.33	40.00	43.67	46.33
1	4.33	8.00	10.33	16.33	21.00	26.67	27.67	29.00	31.33	33.33	45.33	49.33	54.67	59.00
2	2.00	4.00	8.00	13.00	16.00	18.33	20.33	22.00	23.67	27.00	35.00	42.00	45.33	47.67
3	1.00	3.33	5.00	7.33	9.00	11.33	13.00	14.00	17.33	18.33	24.67	30.67	34.00	37.67
4	1.00	4.67	6.67	8.00	9.00	11.33	12.33	13.00	14.33	16.00	23.00	26.33	30.33	33.33
5	1.00	2.33	3.00	4.00	5.00	6.33	7.33	8.00	9.67	10.33	14.67	19.33	24.33	28.33
6	2.00	4.33	5.00	5.33	6.67	8.33	10.00	11.00	11.67	13.00	16.67	20.67	23.00	26.33
7	1.67	2.00	2.00	2.67	3.33	4.33	4.67	5.00	5.67	7.00	10.00	12.33	16.33	19.00
8	0.67	1.67	2.00	2.33	3.33	4.00	4.00	5.00	5.67	7.33	10.00	11.67	15.00	16.67
9	0.33	0.33	0.67	0.67	0.67	1.33	1.33	2.00	3.33	3.67	5.00	8.00	9.67	11.00
