Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	0.67	2.00	2.67	3.67	4.67	5.00	6.33	7.33	9.67	11.33	22.67	32.67	42.00	48.33
1	0.67	1.00	1.33	3.00	3.67	4.67	5.00	5.67	6.33	7.33	11.67	18.00	25.33	28.67
2	0.00	0.33	0.33	1.33	2.33	3.00	3.67	3.67	5.00	6.33	12.00	14.67	17.33	21.33
3	0.00	0.33	0.67	1.33	1.33	1.67	2.33	2.67	3.33	4.00	9.33	12.67	16.67	18.67
4	0.00	0.33	0.67	1.00	1.33	1.67	2.00	2.00	3.00	3.33	4.00	7.00	9.67	12.00
5	0.00	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.67	1.00	4.00	5.33	7.33	8.33
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.67	2.33	4.00	5.33
7	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.33	0.67	1.33	3.00	3.67	4.00
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	1.33	1.33
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	1.67
