Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	1.67	4.00	5.33	7.67	9.00	10.33	12.67	13.33	15.67	17.67	27.33	33.67	37.67	41.33
1	1.33	3.00	4.00	7.67	9.33	11.00	12.33	13.33	15.00	16.33	24.33	28.67	34.33	37.00
2	1.00	3.00	4.67	6.67	8.00	9.00	9.67	11.00	15.00	16.33	20.00	25.00	31.00	34.33
3	1.33	2.67	5.67	7.33	8.00	8.33	9.33	10.33	11.33	14.33	19.00	23.00	26.67	30.33
4	0.00	0.67	2.00	2.67	3.00	5.33	6.67	7.33	8.67	9.00	12.33	14.67	18.00	21.33
5	0.67	1.33	1.67	3.67	5.00	6.00	7.00	7.33	8.33	10.00	13.33	17.00	20.33	24.00
6	0.00	0.00	1.00	2.33	2.33	3.67	5.33	5.33	7.33	7.33	10.67	11.33	14.33	17.00
7	0.33	1.33	1.67	2.67	3.33	3.67	4.67	6.00	6.33	7.00	9.33	11.00	12.33	14.33
8	0.00	0.67	0.67	1.00	1.33	1.67	2.00	2.67	3.00	3.33	5.00	5.67	6.67	9.33
9	0.00	1.00	1.00	1.00	1.33	2.00	3.33	4.33	4.67	5.33	8.67	10.67	13.33	14.67
