Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	1.00	3.33	4.00	5.00	6.33	7.00	8.00	8.33	10.67	11.33	21.00	29.33	36.67	41.00
1	0.33	1.00	1.67	3.00	4.00	5.00	5.00	5.67	6.00	6.67	12.33	18.33	24.67	29.67
2	0.00	0.00	0.00	1.33	2.00	2.67	3.33	3.67	6.00	7.33	13.67	17.00	20.33	23.00
3	0.33	0.33	0.67	1.00	1.00	1.00	2.00	2.00	3.00	4.33	7.33	11.33	15.33	17.33
4	0.00	0.33	0.67	1.00	1.33	1.67	2.00	2.00	3.00	3.33	4.00	7.67	10.33	13.00
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.67	1.33	3.67	5.33	7.67	9.67
6	0.00	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	1.00	2.67	4.67	5.67	6.33
7	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.33	0.67	0.67	1.67	2.67	2.67
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.67
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	1.00
