Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	6.00	11.33	16.67	23.67	28.67	30.33	33.67	36.33	40.00	43.33	51.33	58.33	61.67	66.33
1	3.33	11.67	15.33	19.67	25.00	26.67	27.67	30.00	33.00	37.33	48.67	56.67	60.67	64.33
2	4.33	11.00	14.67	20.00	23.33	26.00	29.00	31.67	34.00	37.67	46.33	52.67	57.67	62.67
3	2.33	8.33	10.00	13.00	15.67	17.00	18.33	19.67	22.33	24.33	30.67	38.33	43.33	46.67
4	2.33	6.33	8.33	10.33	11.67	13.67	15.00	16.00	19.00	22.00	32.33	37.00	43.00	46.67
5	0.67	3.67	6.67	8.33	9.67	11.33	11.67	12.33	16.33	18.00	25.67	30.33	33.00	38.00
6	1.67	2.67	4.00	5.00	7.33	8.67	10.33	11.33	12.67	15.33	19.33	24.00	28.67	30.33
7	1.00	1.67	2.00	4.33	5.67	7.00	7.67	8.67	10.00	11.00	17.00	20.00	24.00	27.33
8	0.00	0.67	1.00	3.00	3.33	4.00	4.33	4.67	5.00	5.33	9.00	11.67	15.00	18.67
9	0.33	0.33	1.67	2.33	3.33	3.67	4.33	4.33	5.33	5.67	8.67	12.33	15.00	17.00
