Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	6.67	11.33	16.00	22.33	26.33	28.00	30.33	31.00	34.67	37.67	47.00	54.67	60.33	62.67
1	1.67	6.67	9.67	12.00	14.67	16.33	18.67	19.67	21.00	24.00	33.33	42.33	48.00	51.33
2	1.00	2.33	4.00	5.33	7.33	9.67	10.33	12.00	13.00	14.00	22.33	30.00	35.67	41.00
3	0.00	1.00	2.67	4.00	6.33	7.67	9.33	9.33	11.33	12.67	19.00	23.67	27.67	31.00
4	0.67	1.00	2.00	3.00	4.00	6.00	7.33	8.00	8.67	9.67	15.33	20.33	24.67	29.00
5	1.00	1.67	3.33	4.00	5.00	5.33	5.67	6.33	8.00	9.00	13.67	17.00	20.00	24.33
6	1.00	2.00	3.00	4.67	5.33	6.00	6.67	7.33	8.67	9.33	15.00	20.00	23.33	25.33
7	2.00	2.33	2.67	3.67	4.00	4.33	4.33	4.67	6.00	7.00	13.33	19.00	22.33	25.67
8	1.00	1.67	1.67	2.67	4.00	4.00	4.33	4.33	6.00	6.00	9.00	14.00	17.00	19.33
9	0.67	1.00	1.00	3.00	3.67	4.67	6.00	6.67	8.67	9.33	12.00	15.67	17.67	20.67
