Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	8.33	15.00	16.00	18.00	18.67	20.00	20.33	20.33	20.67	21.33	22.00	25.33	25.33	25.33
1	9.67	16.00	18.33	20.33	21.33	22.33	22.67	22.67	22.67	23.00	24.00	26.00	26.00	26.00
2	8.33	13.33	15.67	17.33	18.33	18.67	18.67	19.00	20.00	20.33	20.67	23.67	24.00	24.67
3	6.67	13.00	14.00	15.00	15.33	15.67	16.67	17.33	18.00	18.67	20.00	21.33	21.67	21.67
4	9.67	18.67	21.00	22.67	23.33	24.00	24.33	24.33	25.33	25.67	27.33	28.67	28.67	28.67
5	9.00	15.33	16.33	17.67	17.67	18.33	18.33	18.33	18.33	18.33	19.33	21.67	21.67	21.67
6	9.67	18.33	20.00	21.33	22.00	23.00	23.67	24.67	25.33	25.33	26.33	28.33	29.00	29.00
7	12.00	20.67	21.33	24.67	25.33	26.00	26.67	27.00	28.33	28.67	30.00	32.00	32.00	32.00
8	8.67	20.33	23.67	25.33	26.00	26.67	26.67	27.00	27.33	27.33	29.00	31.00	31.67	31.67
9	11.67	22.33	23.33	25.33	26.33	27.33	28.00	28.67	29.67	30.33	30.67	32.67	33.33	33.33
