Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	0.81	3.23	4.84	8.06	11.29	11.29	12.10	12.90	13.71	16.13	21.77	25.00	31.45	33.87
1	3.23	7.26	8.87	9.68	11.29	12.90	13.71	15.32	15.32	20.16	27.42	33.87	38.71	40.32
2	1.61	6.45	13.71	16.94	19.35	20.97	20.97	22.58	24.19	26.61	33.06	39.52	42.74	46.77
3	0.81	1.61	2.42	5.65	7.26	8.06	8.06	8.87	12.10	13.71	19.35	20.97	24.19	27.42
4	2.42	4.03	4.84	5.65	5.65	6.45	8.06	8.06	9.68	12.10	17.74	18.55	24.19	29.03
5	0.00	0.81	1.61	4.03	4.03	4.03	4.84	6.45	8.87	12.10	15.32	21.77	26.61	29.84
6	1.61	1.61	2.42	3.23	4.84	6.45	7.26	8.06	8.87	10.48	13.71	19.35	26.61	30.65
7	0.00	2.42	4.03	4.84	5.65	5.65	5.65	7.26	8.87	8.87	17.74	22.58	24.19	25.81
8	0.00	0.81	0.81	1.61	2.42	3.23	3.23	4.03	5.65	7.26	10.48	12.90	16.94	19.35
9	0.81	0.81	0.81	0.81	0.81	1.61	1.61	3.23	6.45	9.68	12.90	19.35	21.77	23.39
