Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	13.33	24.67	31.33	36.00	41.00	43.33	44.67	48.00	52.00	54.00	66.00	69.67	75.33	77.00
1	7.67	19.67	27.67	34.00	35.33	36.00	38.00	40.00	42.67	45.00	54.67	60.67	65.67	68.33
2	6.33	15.33	22.00	27.00	29.33	30.00	32.67	33.67	36.67	38.00	46.33	50.67	52.67	57.67
3	4.33	18.67	23.67	28.00	29.67	31.00	31.00	32.67	34.00	35.33	41.33	47.67	52.00	56.33
4	3.00	13.00	18.33	26.33	28.33	29.00	30.33	31.00	32.33	34.67	40.00	43.33	45.00	50.00
5	2.00	17.33	20.33	23.67	25.33	26.00	27.33	29.00	30.33	32.67	37.67	42.00	45.67	49.00
6	4.67	14.67	19.67	23.67	26.00	27.67	28.33	29.67	31.33	32.00	35.67	38.67	41.00	42.33
7	3.00	15.33	21.33	24.33	27.00	28.67	28.67	29.67	30.67	31.67	35.00	38.67	41.00	42.67
8	3.00	19.33	24.00	28.00	31.67	33.67	34.67	36.00	37.67	39.33	42.33	43.33	45.00	46.00
9	3.00	19.67	22.33	25.33	26.33	28.00	28.00	28.67	29.33	30.33	33.67	36.33	40.67	42.67
