Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	5.00	11.00	16.00	21.33	24.67	26.67	27.67	29.33	31.67	32.67	41.67	46.33	49.67	52.67
1	4.33	10.33	12.67	20.00	22.67	24.00	27.00	29.00	34.67	37.33	46.00	49.33	52.00	55.67
2	4.00	8.67	13.00	19.00	21.67	22.67	24.00	25.33	28.00	29.67	39.67	42.33	44.67	47.67
3	1.67	5.67	8.00	12.00	14.00	15.67	18.00	19.33	23.00	24.67	33.33	39.67	42.00	47.00
4	0.67	3.33	6.67	9.33	11.67	15.00	15.67	16.33	17.33	19.67	26.33	30.67	35.00	41.00
5	2.00	7.33	8.33	10.33	12.00	15.00	15.33	17.33	20.00	23.33	31.00	37.00	39.00	40.00
6	2.67	4.67	6.00	8.67	9.33	9.67	10.33	13.00	16.00	16.67	22.00	27.00	31.67	35.33
7	2.33	4.67	6.00	7.00	7.00	8.00	8.33	8.67	10.33	11.67	16.00	21.33	25.33	27.67
8	1.00	1.33	2.33	3.33	4.00	4.67	4.67	6.00	7.00	8.33	11.33	15.33	19.00	22.67
9	0.67	1.00	1.33	2.00	3.33	3.67	4.00	4.00	5.33	6.00	9.00	13.67	17.00	19.67
