Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	1.33	5.00	7.33	10.00	11.00	13.33	14.67	15.33	18.67	21.67	32.00	38.33	42.00	45.33
1	2.33	4.00	5.33	10.00	11.67	13.33	15.67	17.33	19.33	20.33	28.67	32.33	36.33	40.67
2	0.67	2.33	4.33	6.00	7.33	8.33	9.00	10.67	14.00	15.00	20.67	24.67	29.67	33.00
3	1.00	1.67	3.33	5.33	7.67	8.00	8.33	9.67	11.67	13.67	20.67	24.67	29.33	31.33
4	0.33	2.00	2.67	3.00	3.67	4.33	5.67	6.33	6.67	7.67	12.00	18.00	19.67	21.67
5	0.67	1.33	1.67	2.67	4.00	5.00	6.00	6.00	8.00	9.67	12.67	15.00	19.33	24.00
6	0.00	0.00	0.33	2.33	3.00	4.00	5.00	5.00	6.00	6.67	10.33	12.00	15.00	16.00
7	0.67	2.00	2.33	3.67	4.33	4.67	5.33	6.67	6.67	7.33	11.33	14.67	16.67	19.33
8	0.00	0.67	1.33	3.33	4.00	4.33	4.67	5.67	6.00	6.67	8.67	10.33	11.33	14.00
9	0.00	0.33	0.33	0.67	1.00	1.67	2.67	3.00	3.67	3.67	7.00	7.67	11.67	12.67
