Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	5.67	14.33	19.00	23.00	25.00	27.33	28.33	29.67	33.00	35.00	44.00	52.33	57.00	60.33
1	4.00	10.33	16.33	20.33	23.00	25.00	26.33	28.33	29.67	31.00	39.33	44.67	47.67	50.67
2	1.67	8.00	12.00	13.67	16.33	18.33	19.00	21.33	23.33	24.33	29.00	33.67	37.00	40.00
3	3.67	10.67	14.67	20.67	22.67	25.67	27.33	28.00	29.67	31.00	36.00	40.00	44.00	46.00
4	2.33	10.67	14.33	18.00	18.33	21.33	22.33	23.00	24.67	25.67	29.33	31.67	35.00	36.67
5	2.67	10.67	13.00	17.67	19.67	20.00	21.33	21.33	22.67	24.00	29.33	32.33	33.67	36.00
6	0.67	9.00	12.33	16.00	17.33	18.33	18.67	19.33	20.67	22.33	25.00	27.67	30.67	32.67
7	2.00	13.00	17.00	21.33	22.33	23.33	24.00	25.00	26.67	27.33	28.33	30.33	31.33	32.67
8	1.00	12.67	19.00	21.67	22.33	22.67	22.67	23.00	24.33	25.67	27.00	29.00	30.33	32.00
9	1.00	11.67	14.33	18.67	20.33	21.67	22.00	23.67	25.00	26.00	30.33	32.00	33.33	34.33
