Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	1.67	4.33	6.67	8.67	10.67	12.67	13.67	14.67	17.67	20.67	32.00	37.67	41.67	46.00
1	1.00	2.67	4.33	7.33	8.00	9.00	11.00	13.33	16.33	17.33	26.00	31.00	34.67	38.67
2	0.33	1.00	2.33	5.67	7.00	8.33	9.00	10.00	12.33	13.67	19.00	24.00	30.00	33.00
3	1.33	2.00	4.33	6.67	8.33	8.67	9.00	9.33	11.67	13.33	19.33	24.67	29.33	31.00
4	0.00	1.33	2.33	3.33	4.00	5.67	6.33	7.00	8.33	9.00	12.67	17.67	20.67	24.67
5	0.67	1.67	2.00	3.33	3.67	5.00	7.00	7.67	8.33	10.33	13.67	16.67	17.67	22.67
6	0.00	0.00	1.00	1.67	2.00	3.33	4.00	4.00	5.33	6.00	9.33	10.67	15.00	17.67
7	0.67	2.00	2.67	3.33	3.33	3.67	4.67	5.67	6.33	6.33	8.67	11.67	13.67	15.33
8	0.00	1.00	1.67	3.00	3.33	3.33	3.67	4.33	5.00	6.33	8.00	10.00	11.67	14.00
9	0.00	1.00	1.33	2.00	2.00	3.00	4.00	4.67	5.67	6.33	9.33	11.33	14.33	15.67
